customer_id,region,age,income,tenure_months,web_user,freq_last_3m,avg_ticket,prior_spend_3m,treatment,propensity,true_hte_ticket_mult,post_spend_3m
1,West,37,44763.32,66,0,4,32.78,122.0,1,0.2139,2.648,204.73
2,South,30,26771.2,54,1,7,9.96,78.4,0,0.3021,2.818,74.52
3,West,47,42452.74,41,1,8,22.87,198.02,1,0.3586,2.975,224.53
4,East,55,30944.87,45,1,2,15.49,27.04,0,0.2397,2.809,70.07
5,North,32,40838.95,30,0,6,12.95,78.15,0,0.195,2.608,75.16
6,West,61,15000.0,65,1,4,29.06,98.77,1,0.3107,2.65,183.75
7,West,54,28079.95,12,1,6,39.38,287.59,0,0.3485,2.781,254.37
8,West,27,66958.9,23,0,9,27.02,209.93,0,0.2598,2.78,222.73
9,North,71,57455.97,15,0,6,28.46,180.11,0,0.2179,2.775,213.85
10,South,20,64785.59,61,1,3,26.18,72.73,0,0.2777,3.052,118.9
11,South,55,65815.82,39,1,10,36.68,315.95,0,0.4252,3.092,302.78
12,West,43,55094.81,49,1,7,27.75,225.61,0,0.3569,3.101,205.65
13,East,55,38206.97,66,0,8,22.92,169.04,1,0.2475,2.632,214.06
14,West,62,29441.24,14,1,10,46.19,335.12,1,0.446,2.844,458.38
15,South,57,62201.17,69,1,8,24.53,208.75,1,0.3609,3.128,291.77
16,North,55,45968.52,9,1,10,19.74,176.43,0,0.3694,3.01,200.85
17,East,65,82410.34,54,1,6,43.88,269.5,0,0.3821,2.876,238.76
18,North,58,39523.53,50,1,7,14.79,116.86,1,0.3263,2.945,175.89
19,West,64,74593.44,59,0,4,49.75,209.65,0,0.2492,2.654,178.5
20,East,40,42648.12,12,1,5,22.69,128.56,1,0.2854,2.926,196.56
21,West,29,65040.73,69,1,6,35.96,173.76,0,0.3654,3.05,217.88
22,South,31,70450.38,57,0,6,23.06,163.27,0,0.213,2.695,156.91
23,West,52,29655.75,8,1,3,35.16,100.76,0,0.2826,2.797,82.24
24,West,48,37725.03,40,1,4,28.75,90.38,0,0.3031,2.877,110.14
25,West,22,29505.31,59,1,4,23.21,58.66,0,0.295,2.795,96.48
26,North,29,26550.83,34,0,7,15.76,105.19,0,0.2152,2.516,93.62
27,South,73,55006.0,28,1,3,28.51,75.45,0,0.2716,3.05,43.72
28,North,59,42050.57,20,0,9,40.7,323.96,1,0.2944,2.671,402.45
29,North,61,45785.49,37,1,5,43.09,226.27,1,0.3615,2.958,341.52
30,East,29,53343.59,70,1,8,26.38,265.46,1,0.3731,3.083,386.35
31,East,21,17139.2,44,1,10,26.41,228.34,0,0.4049,2.721,185.22
32,West,34,64301.49,52,1,4,32.91,133.45,1,0.3181,3.057,187.89
